sequence	20190815-87YZrdRC1	20190815-87YZrdRC2	20190815-87YZrdRC3	20190815-87YZrdRC4	20191002-87YZrfRC1	20191210-87YZrfRC1	20191210-87YZrfRC2	20191210-87YZrfRC3	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
Ley-Lex-[760].SDB22	554	512	653	1258	36	7	8	5	-6.90621399873834	-3.28458609853984	1001.54246862666	37456.0850137452	8970.66819871022	248.784454835589	5.22490461156148	1.6844313205801e-21	6.7377252823204e-20
Ley-Di-Lex-[320].SDB40	0	0	0	0	0	0	0	0	-11.7873495971698	-11.7873495971698	7.60009662323109	7.60009662323111	0	0	2.56274120305193e-15	1	1
Tri-Lex-[490].SDB49	543	545	736	1420	44	6	8	9	-6.73900575563183	-3.20388225974799	1183.82358162063	40604.2613002476	11677.039022941	296.26121731831	5.10010513644167	4.7214144401564e-12	7.26371452331754e-11
GM3-[590].SDB70	139	115	148	245	285	85	83	70	-4.63457545020792	-4.79585816320889	9710.22863892503	8263.90400556918	1064.87579309928	1321.23556995279	-0.232681770227613	0.138519226147632	0.279836820500267
3'SL.(Gc)-[240].SDB161	726	595	797	965	1062	118	143	94	-3.89148851110863	-3.21653920628146	20414.9355520284	40093.5740242974	1922.86975689709	10848.9663703861	0.97374601492561	0.0262022652852931	0.0738091979867411
3'SLN-[350].SDB129	32	17	14	30	51	13	25	9	-6.29789098432176	-6.71642402904835	1840.18165935949	1210.86048311173	390.190815374908	706.036372560882	-0.603815548075224	0.0789130694827572	0.181409355132775
3'SLN-[650].SDB71	2	3	4	4	0	1	2	1	-9.37814938702022	-8.64417082468492	84.551529996778	176.150674390176	49.8158137025143	92.0033723747482	1.05890723199994	0.211351091619686	0.391390910406826
3'SLN.(Gc)-[190].SDB73	6	2	0	3	21	3	11	2	-7.29267860390338	-8.80372150474466	680.50281181097	150.17316374392	130.787150232152	433.523057447213	-2.17997409961419	0.00106467074466283	0.00462900323766448
6'SLN-[460].SDB160	25	23	22	44	254	40	59	23	-5.10154293703327	-6.52027657023598	6087.34692285041	1473.26158569869	271.189340529042	2407.2570892291	-2.04679997696393	2.76665573586243e-08	2.63491022463089e-07
6'SLN-[270].SDB128	1	1	1	5	13	1	6	5	-7.66034764830681	-9.11439389811739	471.143590050069	110.070014618572	70.9774127884458	238.579804827505	-2.09774531382492	0.00258180282533657	0.0101247169621042
6'SLDN-[590].SDB35	40	55	66	67	46	13	15	3	-6.58077370304599	-5.80688248112365	1386.7759268967	3006.78919820258	780.365068432192	657.523060469793	1.11648902805486	0.0015077802516631	0.00615420510882898
3'SLec.(Gc)-[190].SDB74	2	0	2	3	8	2	5	2	-8.02670108303417	-9.23496762689039	326.623938826275	97.5673521767827	55.499780021129	149.485501509531	-1.74316015089342	0.0155807660480398	0.0519358868267993
3'KDNLN-[220].SDB87	3	3	12	10	13	5	1	4	-7.75080599073184	-7.91009084110769	430.395505952308	367.021238464855	214.160099990516	236.193384692612	-0.229799463725986	0.676629336397241	0.83534485974968
3'-KDNLec-[220].SDB111	581	397	663	628	775	225	263	220	-3.57097179717388	-3.52013972120586	28128.5051920095	29595.2997880244	4198.48256075079	2197.50249005717	0.0733351839171536	0.564434229291037	0.742676617488207
9OAc3'SLN-[860].SDB17	116	134	145	167	111	28	32	30	-5.5994385106533	-4.90379521612423	3699.94061058766	7418.37524004845	1424.19309138133	106.248078454221	1.00360113124476	3.16689849985089e-06	2.43607576911607e-05
CT|Sda-[570].SDB21	38	6	24	24	18	2	6	3	-7.54861878136308	-6.73543314823111	526.837302307065	1188.06048239452	663.156978460477	190.495381922664	1.17317888024164	0.00988018860575011	0.035927958566364
GD1a-[570].SDB14	31	36	22	39	27	4	7	4	-7.19853432931082	-6.37925663039557	747.680859609193	1696.38352798214	573.766127017375	199.393775757209	1.18196787333594	0.00226164825131708	0.00904659300526832
3'S-Di-Lec-[270].SDB115	3	3	5	5	10	0	4	0	-8.27141040297217	-8.44624150766652	255.724362388619	214.705871140449	42.9364393667748	230.675673269748	-0.252227967735678	0.703366657231317	0.837107095450544
3'SLecLN-[1270].SDB2	175	118	121	171	85	19	27	18	-5.91292921122901	-4.87160440112831	2704.25394340746	7661.06400270631	1324.86222103395	367.595776733188	1.50231413948693	3.42580945777737e-09	3.69804545251246e-08
6'S-Di-LN-[380].SDB79	342	248	305	394	1050	240	352	239	-3.37764299500019	-4.08701712563948	34127.7994048384	16789.2391322719	1107.50222151991	4390.30188927986	-1.02341054040823	9.37919222610212e-10	1.10343437954143e-08
GM1-[160].SDB121	1765	1345	1726	1830	2289	544	687	578	-2.59682832483727	-2.43326509186621	74509.52385127	87749.852998686	9947.961869259	3289.0027914275	0.235971865079106	0.0306250156965455	0.0827703126933662
SSEA-4-[570].SDB6	96	74	98	123	27	15	13	8	-6.69023835545536	-5.28233968670032	1242.98646504445	5080.53002756104	121.474934932653	526.854718582421	2.03116842748707	1.27829343806898e-08	1.27829343806898e-07
GD3-[410].SDB45	7	7	18	18	29	8	5	6	-7.04746077752938	-7.34013538806676	869.614300365996	648.962653197137	255.053189460952	240.038765587117	-0.422240209216383	0.300809323626586	0.470898720001557
TetraSLac-[490].SDB15	14	20	22	31	25	4	1	6	-7.36536720499514	-6.78114362924741	632.792999065855	1134.97616388984	280.767334191142	320.229752246176	0.842856455501669	0.0411148439442642	0.105422676780165
GQ2-[430].SDB16	32	39	38	49	61	13	16	14	-6.27997803587339	-6.17604848816641	1873.44174228215	2078.62536041238	444.374124143345	155.915950319414	0.149938643078701	0.61077151055684	0.788092271686245
GT2-[430].SDB51	0	0	0	0	1	0	0	0	-10.5648327859074	-11.7873495971698	25.8078258139831	7.60009662323111	0	16.8214669069497	-1.76371894101161	0.183240792256279	0.34903008048815
3'S-Di-Lex-[760].SDB52	133	96	154	136	74	34	26	21	-5.79826198439676	-4.98959746569524	3032.82125807784	6808.40455710341	1099.70407092409	1010.58550554825	1.16665629087355	2.76634903521313e-06	2.2130792281705e-05
3'S-Tri-LeX-[220].SDB53	1	6	6	9	8	3	5	3	-7.90208172833099	-8.13879721431611	369.972555896015	291.988186321911	161.683113464375	120.87314117744	-0.34150825773235	0.563673789002464	0.742676617488207
GD2-[270].SDB122	540	368	505	603	1305	263	388	312	-3.21089519622832	-3.64116104773618	40320.5023496347	26221.8814288091	1862.41765056608	4034.09715187293	-0.620742410234259	7.86910345158127e-06	4.91818965723829e-05
GT3-[380].SDB124	63	40	61	90	304	85	81	90	-4.56420853474446	-5.72664707013276	10418.1215257899	3257.9827283111	330.355631087204	1075.52747469124	-1.67704431034293	2.14453643698089e-12	3.57422739496815e-11
(Man)3-[460].SDB127	1063	1102	1245	2011	492	120	145	125	-4.12957149130942	-2.66291200809925	16089.7719527111	69744.8282418985	11045.582436327	637.634620991081	2.11594236310008	3.06550051219601e-19	8.7585728919886e-18
(Galf)2-[490].SDB131	96	66	121	88	240	43	108	77	-4.72934619678986	-5.32250919082063	8832.24370171352	4880.49226211306	1179.86155483163	2592.0387614617	-0.855753309927043	0.000264553942917328	0.00123048345542943
(Galf)3-[380].SDB132	15	8	9	25	61	11	22	13	-6.24561548584075	-7.21952505972898	1938.93682236127	732.150063868395	236.718778076283	448.620185978196	-1.40505451252283	0.000200279716757128	0.000960598982381952
(Galf)4-[30].SDB125	2	4	3	16	10	1	2	4	-8.05519486876302	-8.03599303710368	317.448528173406	323.603021038938	239.990172551849	150.290634891504	0.0277023873109111	0.963361608851356	1
(Galf)4-[220].SDB126	11	11	13	24	38	9	10	8	-6.74219033472726	-7.17734095989803	1180.05959832223	763.695842559803	159.446232514249	137.115187452602	-0.627789648973591	0.0805985655450839	0.183178558057009
