sequence	20180222-87YYrdRD1	20180130-87YYrdRD1	20180130-87YYrdRD2	20180222-87YYrfRD1	20180130-87YYrfRD1	20180130-87YYrfRD2	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
Galf-[1300].SDB80	39	53	72	60	26	27	-6.85947297126028	-6.40334512363853	1049.46688611417	1656.00844459571	326.566621419448	963.556053573603	-0.658053383775259	0.400898254387912	0.549337280327732
(Galf)3-[50].SDB34	53	86	117	105	191	331	-5.3765067388877	-5.98527956697034	4623.94640225207	2515.51036655423	224.626581750246	1514.24141864991	0.878273540102775	0.0903776137876294	0.312492644530297
(Galf)3-[80].SDB29	214	528	538	308	443	391	-4.70248428912268	-4.40208769933501	9072.70984712338	12251.7352454303	1774.25476226349	1893.96024656737	-0.433380670386627	0.273087007401327	0.491556613322388
(Galf)3-[80].SDB28	221	981	1103	368	570	331	-4.58271225748473	-3.89102216949935	10227.120062346	20424.4581061361	7877.12742912886	3556.6114331955	-0.997897859768554	0.0599239580130987	0.28615849943765
(Galf)3-[140].SDB35	115	41	83	244	148	158	-5.3182995057888	-5.83673839838577	4901.08090277806	2918.34560065109	2659.07469682138	3417.30957336156	0.747949219353619	0.352170122779334	0.500452279739053
(Galf)3-[270].SDB26	334	2391	3409	233	1000	759	-4.26082588648525	-2.97116084483008	14110.6438064671	51243.7897031453	29460.0816802793	5407.71042381801	-1.86059336000377	0.027291396371587	0.28615849943765
(Galf)3-[1190].SDB27	208	786	1025	286	352	284	-4.88836391613463	-4.02337255126439	7533.73822500194	17892.5196296423	6084.99883554829	2549.93249058128	-1.24791875251008	0.0177573244035662	0.254631386719105
(Galf)4-[80].SDB10	93	257	244	225	584	431	-4.68457484029394	-5.17632680550854	9236.66083354193	5648.71719063149	1147.10803344512	1738.24371319859	0.709448121562515	0.080605298277684	0.310906150499638
(Galf)4-[1380].SDB6	346	905	1397	534	665	1055	-4.04613294211668	-3.73129845758518	17489.8784070558	23961.7023741416	5645.24802117192	4089.47220071148	-0.454210149534437	0.28901305074714	0.500452279739053
(Galf)4-[50].SDB11	52	169	290	129	679	538	-4.6693564501403	-5.40929664257299	9378.30299095444	4474.78647904757	1687.86272404261	4275.52875956504	1.06750804617707	0.0621603812488212	0.28615849943765
(Galf)4-[50].SDB9	45	386	522	61	360	462	-5.11182830555994	-4.83540576359144	6025.05720189557	7943.46450226784	4828.00934635421	3427.44792316576	-0.398793430487871	0.57076967865027	0.731878173592872
(Galf)4-[50].SDB8	91	884	1015	231	1190	1137	-4.0324852648777	-4.09327768447445	17730.210882199	16684.4574510693	10397.2443514673	8094.50846469546	0.0877049222758805	0.893427826568018	0.927790435282173
(Galf)4-[650].SDB2	145	775	1023	328	624	630	-4.42178470048297	-4.0929550712662	12012.7739386091	16689.8409457621	7886.74094049508	101.563469867906	-0.474400875368384	0.321552018005976	0.500452279739053
