sequence	20171016-87YGqjEV1	20171016-87YGqjEV2	20171016-87YGqjZQ1	20171016-87YGqjZQ2	20171016-87YGsaEV1	20171016-87YGsaEV2	20171016-87YGsaZQ1	20171016-87YGsaZQ2	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
GD3-[410].SDB45	22	32	9	8	2	10	7	25	-8.9702582029708	-9.33884171657474	127.135361189138	87.9412379961001	18.6105080986417	78.0268417502416	-0.531753607229845	0.25787453272079	0.413468121752713
3'SLec.(Gc)-[190].SDB74	494	822	287	417	105	156	276	344	-5.96898977763352	-5.9348055833992	2556.82307460741	2645.73707975283	382.866902301824	320.581630439061	0.0493173674986487	0.764413531643973	0.855929991047786
3'SLN.(Gc)-[190].SDB73	144	314	220	295	48	58	128	110	-6.88603253679921	-6.52302553052754	1021.96039867752	1469.2172095621	807.121532452667	163.619597342066	0.523708407756091	0.219905273479266	0.370394545243083
9OAc3'SLN-[860].SDB17	1909	2572	976	1393	422	574	994	919	-4.73533576423106	-4.7029967402197	8779.50049458283	9068.06171808037	1310.51377994938	766.674358556862	0.04665534956838	0.738414327541295	0.843396556217294
(Galf)2-[490].SDB131	78	175	27	22	14	18	21	35	-8.22936138190697	-8.00825523816484	266.706599538304	332.704703338288	142.688759479475	44.3416430358429	0.318988737086851	0.380515248444252	0.537435252994216
(Galf)4-[30].SDB125	8719	14014	3988	5509	2176	3771	5559	5583	-2.97256416852938	-3.21142427116789	51171.9285126619	40299.1754245587	1173.38873176867	4945.25344349399	-0.344602285542808	0.00835726487117328	0.0330135048778392
(Galf)4-[220].SDB126	6595	11257	3322	4270	1459	2357	3169	3410	-3.45475502465403	-3.44560905799585	31595.0434148042	31885.3361085411	479.354011142028	2659.19871668346	0.0131948407419003	0.89167236094319	0.938067764708195
(Galf)3-[380].SDB132	12256	22247	5329	6541	2972	4528	7331	6122	-2.75341645306278	-2.89076171994702	63709.827332816	55533.8952208033	6349.04684613414	8335.7096990833	-0.198147335423467	0.177728414399053	0.319285970591264
(Galf)4-[590].SDB20	22392	36993	6411	7879	4040	6261	8698	8687	-2.46871503754592	-2.48711423801945	84693.6172297208	83149.570558279	25917.8526011552	8145.80814679757	-0.0265444352794802	0.906423192279959	0.946120558365213
2'F-B.type.2-[970].SDB39	1	3	1	1	0	0	1	2	-11.5391770177254	-11.6906277940568	9.74090023757323	8.37191593987986	2.13512067904263	8.29338138094943	-0.218497283952209	0.800000846887608	0.885449853753312
3'SLex-[140].SDB65	37	52	26	22	4	6	12	20	-9.00882481144357	-8.61097858493729	122.325527141826	182.095627156537	46.846888918549	39.1775851830092	0.573970778017002	0.0935481734144877	0.205174674820119
A.tetra.L-[890].SDB29	487	782	183	278	102	161	202	335	-6.05032560947969	-6.16510240209721	2357.09438924762	2101.50315524047	229.098443228867	383.003182367912	-0.165587909518433	0.340939362103046	0.499064950583485
B.tetra.type.2-[1000].SDB26	187	293	70	83	35	42	66	93	-7.25876093932564	-7.18289296169885	703.979769077031	759.467550470602	124.038813188473	79.5531198284516	0.109454355084451	0.550839264277377	0.69584818720552
bMan-[320].SDB8	7052	10672	3285	4976	2128	3331	5518	4536	-3.05907034509663	-3.40397351782284	46931.3048635762	33240.9237913956	2951.13146622992	6471.12877178341	-0.49759009687897	0.00394258030109486	0.0179550631546677
Galf-[730].SDB130	5848	11012	2891	3429	4365	7676	13609	9283	-2.25417397915097	-3.56824583150315	104960.207257935	28205.2871364578	2319.83742061347	23580.19824875	-1.89580494476026	2.21106218548108e-06	0.000105393964174598
GD1a-[570].SDB14	923	1353	340	483	188	217	382	435	-5.60695969188356	-5.57564338885744	3672.21707427373	3789.03697357671	446.044541322423	310.63364138977	0.0451798750747633	0.735000845083366	0.840840966775371
Globoside-P-[300].SDB44	3280	4719	1517	1853	524	701	996	1683	-4.47080435150259	-4.24069446960113	11438.111886908	14397.5896820522	949.728913848929	2039.49257745878	0.331978385478775	0.0441904080697348	0.12150227771156
Lec-LeX-[510].SDB1	1481	2061	1396	1421	201	240	295	530	-5.56827891562566	-4.68140391065423	3817.04423773431	9265.99612063659	3532.82332777565	742.434015894901	1.27949017156065	0.00170568351072777	0.0096028638596091
Ley-[1780].SDB50	0	3	4	4	1	4	10	1	-9.92440770320781	-11.0685776453796	48.9648578833925	15.5947280649471	18.1613119315447	40.183158815002	-1.65068830150543	0.120853761796015	0.244788780974931
Ley-Lex-[760].SDB22	1297	1953	493	727	287	388	531	729	-5.14469394991415	-5.20539250377305	5830.25844208171	5486.89639068285	547.300794029803	472.348348305611	-0.0875695026413699	0.493689143544673	0.645315790922196
P1.penta-[860].SDB13	426	784	405	400	70	99	149	162	-6.5349866566565	-5.88212617348564	1451.74839880137	2788.84938928462	874.844775174253	50.2460201965361	0.941878581462975	0.00241208875505788	0.0121453764779323
P1.tetra-[350].SDB5	0	1	0	0	0	2	1	0	-11.515459300784	-13.0684062261731	9.97469371638587	2.1108787538166	1.42006455978217	14.1421475360468	-2.24042882802271	0.103901255300105	0.221099397439212
