sequence	20171003-87YGqeEV1	20171003-87YGqeEV2	20171016-87YGqeZQ1	20171016-87YGqeZQ2	20171016-87YGsaEV1	20171016-87YGsaEV2	20171016-87YGsaZQ1	20171016-87YGsaZQ2	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
B.tetra.type.2-[1000].SDB26	1338	1172	895	1272	35	42	66	93	-7.0440017076851	-5.48427339618491	872.627565511335	4151.55051608015	760.998121040415	135.394311278897	2.25021230013543	1.34488138393437e-06	6.86850135366482e-05
bMan-[320].SDB8	11878	7380	7364	14670	2128	3331	5518	4536	-2.8490989133918	-3.3508825384552	57896.4671083473	35053.4044683046	2395.52972007542	6186.65143552386	-0.723920747478251	0.000182214414847535	0.00190859434155028
Galf-[730].SDB130	16191	12027	5482	11952	4365	7676	13609	9283	-2.04743258481107	-3.23673180137545	129065.844183792	39292.0998722992	12738.8852756926	23757.4996380897	-1.71579608187057	6.7892930602609e-05	0.00105977731340749
GD1a-[570].SDB14	1196	856	956	1904	188	217	382	435	-5.39159220026424	-5.47596740772549	4554.71554004984	4186.17685065238	677.334423819006	560.821567933955	-0.121727693378313	0.495796606360156	0.646887907933415
Globoside-P-[300].SDB44	5286	2956	4267	5914	524	701	996	1683	-4.2538007093438	-4.13416012842329	14210.1225977206	16016.1109590078	3070.1708956963	2952.87505115369	0.17260487278309	0.429398350890353	0.584086343443805
Lec-LeX-[510].SDB1	1232	833	1013	1682	201	240	295	530	-5.34861259354939	-5.49425829408617	4754.74318670066	4110.30397199415	586.903163137635	1116.05693722443	-0.210122329891209	0.334925093027843	0.49273959159446
Ley-[1780].SDB50	35	25	58	68	1	4	10	1	-9.73441937536309	-8.70453079063267	59.2100435819805	165.832752818359	80.3396452351634	46.632042580542	1.48581515385873	0.0457974219306429	0.124506299165056
Ley-Lex-[760].SDB22	2884	2240	2286	3683	287	388	531	729	-4.92874679975167	-4.63855903949918	7235.56521410542	9671.62401962867	993.574392408991	891.112320854404	0.418652442642941	0.0300471700417619	0.0902677587389066
P1.penta-[860].SDB13	924	753	453	852	70	99	149	162	-6.32189528887343	-5.95508492631951	1796.53532409549	2592.62364326861	530.453599928378	107.76342035829	0.529195491003226	0.0204144436552825	0.0654543821234394
P1.tetra-[350].SDB5	2	2	0	1	0	2	1	0	-11.3357923591416	-12.2061415854102	11.9378998295724	4.99965531248113	3.81436398072295	16.990974354329	-1.25564851257936	0.292832836964316	0.450269846084916
